Abstract,Computer Science,Physics,Mathematics,Statistics,Quantitative Biology,Quantitative Finance
"""  We use the hydrodynamical galaxy formation simulations from the Illustris
suite to study the origin and properties of galaxy velocity bias, i.e., the
difference between the velocity distributions of galaxies and dark matter
inside halos. We find that galaxy velocity bias is a decreasing function of the
ratio of galaxy stellar mass to host halo mass. In general, central galaxies
are not at rest with respect to dark matter halos or the core of halos, with a
velocity dispersion above 0.04 times that of the dark matter. The central
galaxy velocity bias is found to be mostly caused by the close interactions
between the central and satellite galaxies. For satellite galaxies, the
velocity bias is related to their dynamical and tidal evolution history after
being accreted onto the host halos. It depends on the time after the accretion
and their distances from the halo centers, with massive satellites generally
moving more slowly than the dark matter. The results are in broad agreements
with those inferred from modeling small-scale redshift-space galaxy clustering
data, and the study can help improve models of redshift-space galaxy
clustering.
""
",0,1,0,0,0,0
"""  In this note we prove in the nonlinear setting of $CD(K,\infty)$ spaces the
stability of the Krasnoselskii spectrum of the Laplace operator $-\Delta$ under
measured Gromov-Hausdorff convergence, under an additional compactness
assumption satisfied, for instance, by sequences of $CD^*(K,N)$ metric measure
spaces with uniformly bounded diameter. Additionally, we show that every
element $\lambda$ in the Krasnoselskii spectrum is indeed an eigenvalue, namely
there exists a nontrivial $u$ satisfying the eigenvalue equation $- \Delta u =
\lambda u$.
""
",0,0,1,0,0,0
"""  In this note we prove in the nonlinear setting of $CD(K,\infty)$ spaces the
stability of the Krasnoselskii spectrum of the Laplace operator $-\Delta$ under
measured Gromov-Hausdorff convergence, under an additional compactness
assumption satisfied, for instance, by sequences of $CD^*(K,N)$ metric measure
spaces with uniformly bounded diameter. Additionally, we show that every
element $\lambda$ in the Krasnoselskii spectrum is indeed an eigenvalue, namely
there exists a nontrivial $u$ satisfying the eigenvalue equation $- \Delta u =
\lambda u$.
""
",0,0,1,0,0,0
"""  Load balancing is a common approach in web server farms or inventory routing
problems. An important issue in such systems is to determine the server to
which an incoming request should be routed to optimize a given performance
criteria. In this paper, we assume the server's scheduling disciplines to be
heterogeneous. More precisely, a server implements a scheduling discipline
which belongs to the class of limited processor sharing (LPS-$d$) scheduling
disciplines. Under LPS-$d$, up to $d$ jobs can be served simultaneously, and
hence, includes as special cases First Come First Served ($d=1$) and Processor
Sharing ($d=\infty$).
In order to obtain efficient heuristics, we model the above load-balancing
framework as a multi-armed restless bandit problem. Using the relaxation
technique, as first developed in the seminal work of Whittle, we derive
Whittle's index policy for general cost functions and obtain a closed-form
expression for Whittle's index in terms of the steady-state distribution.
Through numerical computations, we investigate the performance of Whittle's
index with two different performance criteria: linear cost criterion and a cost
criterion that depends on the first and second moment of the throughput. Our
results show that \emph{(i)} the structure of Whittle's index policy can
strongly depend on the scheduling discipline implemented in the server, i.e.,
on $d$, and that \emph{(ii)} Whittle's index policy significantly outperforms
standard dispatching rules such as Join the Shortest Queue (JSQ), Join the
Shortest Expected Workload (JSEW), and Random Server allocation (RSA).
""
",1,0,0,0,0,0
"""  Load balancing is a common approach in web server farms or inventory routing
problems. An important issue in such systems is to determine the server to
which an incoming request should be routed to optimize a given performance
criteria. In this paper, we assume the server's scheduling disciplines to be
heterogeneous. More precisely, a server implements a scheduling discipline
which belongs to the class of limited processor sharing (LPS-$d$) scheduling
disciplines. Under LPS-$d$, up to $d$ jobs can be served simultaneously, and
hence, includes as special cases First Come First Served ($d=1$) and Processor
Sharing ($d=\infty$).
In order to obtain efficient heuristics, we model the above load-balancing
framework as a multi-armed restless bandit problem. Using the relaxation
technique, as first developed in the seminal work of Whittle, we derive
Whittle's index policy for general cost functions and obtain a closed-form
expression for Whittle's index in terms of the steady-state distribution.
Through numerical computations, we investigate the performance of Whittle's
index with two different performance criteria: linear cost criterion and a cost
criterion that depends on the first and second moment of the throughput. Our
results show that \emph{(i)} the structure of Whittle's index policy can
strongly depend on the scheduling discipline implemented in the server, i.e.,
on $d$, and that \emph{(ii)} Whittle's index policy significantly outperforms
standard dispatching rules such as Join the Shortest Queue (JSQ), Join the
Shortest Expected Workload (JSEW), and Random Server allocation (RSA).
""
",1,0,0,0,0,0
"""  Cellular electron cryo-tomography enables the 3D visualization of cellular
organization in the near-native state and at submolecular resolution. However,
the contents of cellular tomograms are often complex, making it difficult to
automatically isolate different in situ cellular components. In this paper, we
propose a convolutional autoencoder-based unsupervised approach to provide a
coarse grouping of 3D small subvolumes extracted from tomograms. We demonstrate
that the autoencoder can be used for efficient and coarse characterization of
features of macromolecular complexes and surfaces, such as membranes. In
addition, the autoencoder can be used to detect non-cellular features related
to sample preparation and data collection, such as carbon edges from the grid
and tomogram boundaries. The autoencoder is also able to detect patterns that
may indicate spatial interactions between cellular components. Furthermore, we
demonstrate that our autoencoder can be used for weakly supervised semantic
segmentation of cellular components, requiring a very small amount of manual
annotation.
""
",0,0,0,0,1,0
"""  A linear code with a complementary dual (or LCD code) is defined to be a
linear code $C$ whose dual code $C^{\perp}$ satisfies $C \cap C^{\perp}$=
$\left\{ \mathbf{0}\right\} $. Let $LCD{[}n,k{]}$ denote the maximum of
possible values of $d$ among $[n,k,d]$ binary LCD codes. We give exact values
of $LCD{[}n,k{]}$ for $1 \le k \le n \le 12$.
We also show that $LCD[n,n-i]=2$ for any $i\geq2$ and $n\geq2^{i}$.
Furthermore, we show that $LCD[n,k]\leq LCD[n,k-1]$ for $k$ odd and
$LCD[n,k]\leq LCD[n,k-2]$ for $k$ even.
""
",1,0,0,0,0,0
"""  A linear code with a complementary dual (or LCD code) is defined to be a
linear code $C$ whose dual code $C^{\perp}$ satisfies $C \cap C^{\perp}$=
$\left\{ \mathbf{0}\right\} $. Let $LCD{[}n,k{]}$ denote the maximum of
possible values of $d$ among $[n,k,d]$ binary LCD codes. We give exact values
of $LCD{[}n,k{]}$ for $1 \le k \le n \le 12$.
We also show that $LCD[n,n-i]=2$ for any $i\geq2$ and $n\geq2^{i}$.
Furthermore, we show that $LCD[n,k]\leq LCD[n,k-1]$ for $k$ odd and
$LCD[n,k]\leq LCD[n,k-2]$ for $k$ even.
""
",1,0,0,0,0,0
"""  A linear code with a complementary dual (or LCD code) is defined to be a
linear code $C$ whose dual code $C^{\perp}$ satisfies $C \cap C^{\perp}$=
$\left\{ \mathbf{0}\right\} $. Let $LCD{[}n,k{]}$ denote the maximum of
possible values of $d$ among $[n,k,d]$ binary LCD codes. We give exact values
of $LCD{[}n,k{]}$ for $1 \le k \le n \le 12$.
We also show that $LCD[n,n-i]=2$ for any $i\geq2$ and $n\geq2^{i}$.
Furthermore, we show that $LCD[n,k]\leq LCD[n,k-1]$ for $k$ odd and
$LCD[n,k]\leq LCD[n,k-2]$ for $k$ even.
""
",1,0,0,0,0,0
"""  In this work we establish the first linear convergence result for the
stochastic heavy ball method. The method performs SGD steps with a fixed
stepsize, amended by a heavy ball momentum term. In the analysis, we focus on
minimizing the expected loss and not on finite-sum minimization, which is
typically a much harder problem. While in the analysis we constrain ourselves
to quadratic loss, the overall objective is not necessarily strongly convex.
""
",0,0,0,1,0,0
